symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ACMBTC,0.00000000,0.000,0.00000000,0.00009050,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
ACMBUSD,-0.02400000,-1.144,2.08565038,2.10400000,2.07300000,37.90000000,0.00000000,0.00000000,0.00000000,0.00000000,2.09700000,2.13200000,2.05500000,37500.30000000,78212.51510000,1690254003635,1690340403635,3612817,3613373,557
ACMUSDT,-0.01900000,-1.018,1.85105846,1.86500000,1.84800000,4.80000000,1.84300000,114.70000000,1.84700000,11.10000000,1.86700000,1.87500000,1.83000000,165997.70000000,307271.44630000,1694862182627,1694948582627,14268317,14272100,3784
AUCTIONBTC,0.00000550,2.952,0.00019955,0.00018670,0.00019180,0.94000000,0.00019100,0.94000000,0.00019150,85.61000000,0.00018630,0.00022010,0.00018290,62020.43000000,12.37609904,1694862180736,1694948580736,4106164,4109542,3379
AUCTIONBUSD,0.13000000,2.626,5.34742556,4.95000000,5.08000000,2.50000000,5.08000000,17.77000000,5.09000000,81.34000000,4.95000000,5.84000000,4.85000000,178751.70000000,955861.40870000,1694862153449,1694948553449,9839282,9845697,6416
PHABTC,0.00000002,0.559,0.00000360,0.00000359,0.00000360,263.00000000,0.00000359,2629.00000000,0.00000360,242.00000000,0.00000358,0.00000365,0.00000356,194507.00000000,0.70086689,1694862134117,1694948534117,4657010,4657424,415
PHABUSD,0.00000000,0.000,0.09592882,0.09460000,0.09570000,1224.00000000,0.09560000,2092.00000000,0.09580000,137.00000000,0.09570000,0.09710000,0.09450000,396021.00000000,37989.82580000,1694862136013,1694948536013,11745101,11745534,434
DOTGBP,-0.02200000,-0.636,3.44344867,3.46700000,3.43500000,4.16000000,3.42500000,15.38000000,3.43300000,32.92000000,3.45700000,3.47700000,3.42000000,993.77000000,3421.99598000,1694862146723,1694948546723,1557695,1557733,39
ADATRY,-0.02000000,-0.294,6.77879106,6.81000000,6.79000000,1532.80000000,6.78000000,6823.60000000,6.79000000,4082.20000000,6.81000000,6.83000000,6.71000000,403649.20000000,2736253.58800000,1694862179787,1694948579787,9507665,9509223,1559
ADABRL,0.00100000,0.082,1.22371031,1.22700000,1.22800000,147.80000000,1.22600000,3509.20000000,1.22800000,620.10000000,1.22700000,1.23200000,1.21500000,63861.60000000,78148.09860000,1694862166083,1694948566083,5793380,5793723,344
ADAGBP,-0.00090000,-0.431,0.20762941,0.20780000,0.20790000,113.60000000,0.20710000,1133.40000000,0.20760000,131.80000000,0.20880000,0.20930000,0.20580000,19132.40000000,3972.44900000,1694862067379,1694948467379,4250495,4250564,70
TVKBTC,0.00000002,2.817,0.00000072,0.00000071,0.00000073,2716.00000000,0.00000072,204133.00000000,0.00000073,2993.00000000,0.00000071,0.00000074,0.00000070,3281156.00000000,2.37879351,1694862001017,1694948401017,9172350,9173625,1276
TVKBUSD,0.00025000,1.239,0.02015122,0.02019000,0.02043000,2047.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02018000,0.02043000,0.01969000,852635.00000000,17181.63482000,1694070035045,1694156435045,19713747,19713946,200
BADGERBTC,0.00000340,4.288,0.00008151,0.00007920,0.00008270,38.22000000,0.00008280,87.18000000,0.00008300,3.83000000,0.00007930,0.00008490,0.00007780,31841.10000000,2.59543170,1694862181691,1694948581691,2624454,2625392,939
BADGERBUSD,0.09300000,4.401,2.17915354,2.10000000,2.20600000,33.54000000,2.20100000,145.61000000,2.20900000,25.30000000,2.11300000,2.25500000,2.08000000,32139.47000000,70036.83973000,1694862181738,1694948581738,3921006,3921764,759
BADGERUSDT,0.10000000,4.748,2.17320724,2.10800000,2.20600000,778.08000000,2.20100000,48.00000000,2.20600000,9.87000000,2.10600000,2.25600000,2.08000000,1088111.69000000,2364692.20393000,1694862182300,1694948582300,14267268,14281397,14130
FISBTC,0.00000059,6.392,0.00000960,0.00000924,0.00000982,304.00000000,0.00000981,768.00000000,0.00000982,456.00000000,0.00000923,0.00001024,0.00000919,1114233.00000000,10.69771791,1694862179792,1694948579792,3356081,3363286,7206
FISBUSD,0.01670000,6.836,0.26161429,0.24910000,0.26100000,250.00000000,0.26100000,1177.00000000,0.26220000,762.00000000,0.24430000,0.27330000,0.24340000,317457.00000000,83051.28700000,1694862182818,1694948582818,7518339,7519093,755
FISUSDT,0.01590000,6.482,0.25781908,0.24520000,0.26120000,351.00000000,0.26120000,911.00000000,0.26130000,765.00000000,0.24530000,0.27290000,0.24370000,9043296.00000000,2331534.21510000,1694862182530,1694948582530,18387080,18404186,17107
DOTBRL,-0.14000000,-0.685,20.37313125,20.45000000,20.29000000,0.56000000,20.28000000,443.47000000,20.30000000,65.64000000,20.43000000,20.56000000,20.17000000,2431.55000000,49538.28730000,1694862174797,1694948574797,1965679,1965876,198
ADAAUD,0.00000000,0.000,0.00000000,0.50540000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
HOTTRY,-0.00065000,-2.202,0.02919322,0.02952000,0.02887000,17150.00000000,0.02886000,153735.00000000,0.02887000,217602.00000000,0.02952000,0.02966000,0.02863000,111470793.00000000,3254191.78266000,1694862181636,1694948581636,21717987,21719572,1586
EGLDEUR,1.15000000,4.885,24.41004555,23.56000000,24.69000000,0.96000000,24.75000000,20.14000000,24.79000000,18.33000000,23.54000000,25.00000000,23.30000000,4623.56000000,112861.31020000,1694862182008,1694948582008,3132643,3133553,911
OMBTC,0.00000002,2.941,0.00000070,0.00000068,0.00000070,12639.00000000,0.00000070,212090.00000000,0.00000071,141798.00000000,0.00000068,0.00000071,0.00000068,4580789.00000000,3.20537506,1694862179720,1694948579720,3050628,3051713,1086
OMBUSD,0.00058000,3.178,0.01863061,0.01802000,0.01883000,826.00000000,0.01880000,10593.00000000,0.01883000,3831.00000000,0.01825000,0.01897000,0.01825000,423544.00000000,7890.88171000,1694862087094,1694948487094,5230020,5230200,181
OMUSDT,0.00058000,3.182,0.01858594,0.01825000,0.01881000,6917.00000000,0.01881000,28006.00000000,0.01882000,13150.00000000,0.01823000,0.01898000,0.01812000,32377255.00000000,601761.74261000,1694862179729,1694948579729,15143371,15148107,4737
PONDBTC,0.00000000,0.000,0.00000031,0.00000031,0.00000031,202864.00000000,0.00000031,5253948.00000000,0.00000032,1841105.00000000,0.00000031,0.00000032,0.00000030,6591204.00000000,2.06842036,1694862180392,1694948580392,3850039,3850244,206
PONDBUSD,0.00016000,1.951,0.00833544,0.00820000,0.00836000,106374.57000000,0.00835000,5033.33000000,0.00837000,132466.76000000,0.00820000,0.00850000,0.00815000,9627765.50000000,80251.62767800,1694862003227,1694948403227,12933550,12935223,1674
PONDUSDT,0.00015000,1.827,0.00833420,0.00822000,0.00836000,3378.56000000,0.00834000,215363.23000000,0.00836000,215635.97000000,0.00821000,0.00856000,0.00814000,103844097.93000000,865457.43363040,1694862116889,1694948516889,27016392,27024818,8427
DEGOBTC,0.00000004,0.080,0.00005022,0.00005037,0.00005023,14.91000000,0.00005019,40.01000000,0.00005040,7.45000000,0.00005019,0.00005063,0.00004930,9289.51000000,0.46655970,1694862181743,1694948581743,4882108,4885477,3370
DEGOBUSD,0.01200000,0.904,1.33459166,1.34200000,1.34000000,18.20000000,1.33500000,74.90000000,1.34100000,74.79000000,1.32800000,1.34500000,1.31000000,8429.92000000,11250.50094000,1694862181514,1694948581514,8357954,8358044,91
DEGOUSDT,-0.00100000,-0.075,1.32926139,1.33600000,1.33600000,14.01000000,1.33600000,791.75000000,1.33800000,9.84000000,1.33700000,1.34800000,1.31200000,177146.17000000,235473.56404000,1694862181436,1694948581436,24597855,24600345,2491
AVAXEUR,-0.16000000,-1.804,8.77874212,8.88000000,8.71000000,0.91000000,8.71000000,16.74000000,8.73000000,267.54000000,8.87000000,8.89000000,8.63000000,2552.00000000,22403.34990000,1694862177256,1694948577256,3905189,3905605,417
BTTTRY,0.00000000,0.000,0.00000000,0.03783000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
CHZBRL,-0.00500000,-1.712,0.28844348,0.29200000,0.28700000,12393.00000000,0.28600000,22368.00000000,0.28800000,28183.00000000,0.29200000,0.29300000,0.28400000,52902.00000000,15259.23700000,1694862181953,1694948581953,2572297,2572362,66
UNIEUR,0.00000000,0.000,0.00000000,4.85600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
ALICEBTC,-0.00000044,-1.499,0.00002892,0.00002938,0.00002892,242.20000000,0.00002885,24.29000000,0.00002890,600.00000000,0.00002936,0.00002962,0.00002848,38147.35000000,1.10312872,1694862152120,1694948552120,11152714,11156109,3396
ALICEBUSD,-0.01300000,-1.660,0.77016939,0.78000000,0.77000000,26.77000000,0.76700000,13.78000000,0.76900000,68.45000000,0.78300000,0.78400000,0.75300000,13951.92000000,10745.34178000,1694862118740,1694948518740,16769751,16769964,214
ALICEUSDT,-0.01100000,-1.414,0.76861695,0.77800000,0.76700000,638.41000000,0.76700000,5949.16000000,0.76800000,4595.89000000,0.77800000,0.78600000,0.75200000,853899.49000000,656321.62201000,1694862158820,1694948558820,84247516,84254153,6638
CHZBUSD,-0.00110000,-1.846,0.05877920,0.05960000,0.05850000,3986.00000000,0.05840000,30303.00000000,0.05850000,203803.00000000,0.05960000,0.05970000,0.05790000,3801279.00000000,223436.13730000,1694862173605,1694948573605,20386324,20387979,1656
CHZEUR,-0.00110000,-1.964,0.05523906,0.05600000,0.05490000,528.00000000,0.05480000,2405.00000000,0.05490000,8089.00000000,0.05600000,0.05600000,0.05460000,82379.00000000,4550.53850000,1694862181939,1694948581939,3820448,3820504,57
CHZGBP,-0.00220000,-3.704,0.05850774,0.06090000,0.05720000,3128.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05940000,0.05950000,0.05720000,9533.00000000,557.75430000,1692154810904,1692241210904,1257393,1257399,7
